    ksoftirqd/19-132     [019] ..s1. 1803210.480875: bpf_trace_printk: throughput: 13640221 (pps)
    ksoftirqd/19-132     [019] ..s1. 1803211.480862: bpf_trace_printk: throughput: 13642230 (pps)
    ksoftirqd/19-132     [019] ..s1. 1803212.480847: bpf_trace_printk: throughput: 13641572 (pps)
    ksoftirqd/19-132     [019] ..s1. 1803213.480833: bpf_trace_printk: throughput: 13638019 (pps)
    ksoftirqd/19-132     [019] ..s1. 1803214.480818: bpf_trace_printk: throughput: 13635014 (pps)
    ksoftirqd/19-132     [019] ..s1. 1803215.480805: bpf_trace_printk: throughput: 13637888 (pps)
    ksoftirqd/19-132     [019] ..s1. 1803216.480790: bpf_trace_printk: throughput: 13663428 (pps)
    ksoftirqd/19-132     [019] ..s1. 1803217.480776: bpf_trace_printk: throughput: 13694908 (pps)
    ksoftirqd/19-132     [019] ..s1. 1803218.480761: bpf_trace_printk: throughput: 13702056 (pps)
    ksoftirqd/19-132     [019] ..s1. 1803219.480747: bpf_trace_printk: throughput: 13699534 (pps)
    ksoftirqd/19-132     [019] ..s1. 1803220.480734: bpf_trace_printk: throughput: 13698314 (pps)
    ksoftirqd/19-132     [019] ..s1. 1803221.480718: bpf_trace_printk: throughput: 13706735 (pps)
    ksoftirqd/19-132     [019] ..s1. 1803222.480706: bpf_trace_printk: throughput: 13700113 (pps)
    ksoftirqd/19-132     [019] ..s1. 1803223.480689: bpf_trace_printk: throughput: 13641977 (pps)
    ksoftirqd/19-132     [019] ..s1. 1803224.480674: bpf_trace_printk: throughput: 13625734 (pps)
    ksoftirqd/19-132     [019] ..s1. 1803225.480660: bpf_trace_printk: throughput: 13623745 (pps)
    ksoftirqd/19-132     [019] ..s1. 1803226.480647: bpf_trace_printk: throughput: 13624296 (pps)
    ksoftirqd/19-132     [019] ..s1. 1803227.480632: bpf_trace_printk: throughput: 13624960 (pps)
    ksoftirqd/19-132     [019] ..s1. 1803228.480619: bpf_trace_printk: throughput: 13628416 (pps)
